"START_DATE","END_DATE","JURISDICTION","AGE_GROUP","DETECTION_METHOD","FINES","YEAR","DETECTION_METHOD_CLEAN","MONTH","Duplicate Status"
"2023-01-01","2023-01-31","ACT","0-16","Fixed camera",1,2023,"Fixed camera",1,"unique"
"2023-01-01","2023-01-31","ACT","17-25","Fixed camera",559,2023,"Fixed camera",1,"unique"
"2023-01-01","2023-01-31","ACT","26-39","Fixed camera",1550,2023,"Fixed camera",1,"unique"
"2023-01-01","2023-01-31","ACT","40-64","Fixed camera",2722,2023,"Fixed camera",1,"unique"
"2023-01-01","2023-01-31","ACT","65 and over","Fixed camera",836,2023,"Fixed camera",1,"unique"
"2023-01-01","2023-01-31","ACT","Unknown","Fixed camera",92,2023,"Fixed camera",1,"unique"
"2023-01-01","2023-01-31","ACT","17-25","Mobile camera",143,2023,"Mobile camera",1,"unique"
"2023-01-01","2023-01-31","ACT","26-39","Mobile camera",313,2023,"Mobile camera",1,"unique"
"2023-01-01","2023-01-31","ACT","40-64","Mobile camera",476,2023,"Mobile camera",1,"unique"
"2023-01-01","2023-01-31","ACT","65 and over","Mobile camera",148,2023,"Mobile camera",1,"unique"
"2023-01-01","2023-01-31","ACT","Unknown","Mobile camera",12,2023,"Mobile camera",1,"unique"
"2023-01-01","2023-01-31","ACT","0-16","Police issued",2,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","ACT","17-25","Police issued",59,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","ACT","26-39","Police issued",98,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","ACT","40-64","Police issued",47,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","ACT","65 and over","Police issued",5,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","NSW","Unknown","Fixed camera",27788,2023,"Fixed camera",1,"unique"
"2023-01-01","2023-01-31","NSW","Unknown","Mobile camera",1413,2023,"Mobile camera",1,"unique"
"2023-01-01","2023-01-31","NSW","0-16","Police issued",5,2023,"Police issued",1,"chosen"
"2023-01-01","2023-01-31","NSW","17-25","Police issued",1508,2023,"Police issued",1,"chosen"
"2023-01-01","2023-01-31","NSW","26-39","Police issued",2428,2023,"Police issued",1,"chosen"
"2023-01-01","2023-01-31","NSW","40-64","Police issued",2435,2023,"Police issued",1,"chosen"
"2023-01-01","2023-01-31","NSW","65 and over","Police issued",485,2023,"Police issued",1,"chosen"
"2023-01-01","2023-01-31","NSW","0-16","Police issued",4,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","NSW","17-25","Police issued",1655,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","NSW","26-39","Police issued",1989,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","NSW","40-64","Police issued",1746,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","NSW","65 and over","Police issued",252,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","NSW","0-16","Police issued",1,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","NSW","17-25","Police issued",394,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","NSW","26-39","Police issued",711,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","NSW","40-64","Police issued",794,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","NSW","65 and over","Police issued",221,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","NSW","17-25","Police issued",27,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","NSW","26-39","Police issued",61,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","NSW","40-64","Police issued",70,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","NSW","65 and over","Police issued",21,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","NSW","17-25","Police issued",2,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","NSW","26-39","Police issued",1,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","NSW","40-64","Police issued",2,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","NSW","65 and over","Police issued",1,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","NSW","17-25","Police issued",2,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","NSW","26-39","Police issued",10,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","NSW","40-64","Police issued",5,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","NSW","65 and over","Police issued",1,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","NSW","Unknown","Red light camera",18873,2023,"Red light camera",1,"unique"
"2023-01-01","2023-01-31","NT","0-16","Mobile camera",4,2023,"Mobile camera",1,"unique"
"2023-01-01","2023-01-31","NT","17-25","Mobile camera",307,2023,"Mobile camera",1,"unique"
"2023-01-01","2023-01-31","NT","26-39","Mobile camera",649,2023,"Mobile camera",1,"unique"
"2023-01-01","2023-01-31","NT","40-64","Mobile camera",710,2023,"Mobile camera",1,"unique"
"2023-01-01","2023-01-31","NT","65 and over","Mobile camera",159,2023,"Mobile camera",1,"unique"
"2023-01-01","2023-01-31","NT","Unknown","Mobile camera",56,2023,"Mobile camera",1,"unique"
"2023-01-01","2023-01-31","NT","0-16","Police issued",2,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","NT","17-25","Police issued",98,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","NT","26-39","Police issued",141,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","NT","40-64","Police issued",126,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","NT","65 and over","Police issued",20,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","NT","17-25","Red light camera",55,2023,"Red light camera",1,"unique"
"2023-01-01","2023-01-31","NT","26-39","Red light camera",207,2023,"Red light camera",1,"unique"
"2023-01-01","2023-01-31","NT","40-64","Red light camera",301,2023,"Red light camera",1,"unique"
"2023-01-01","2023-01-31","NT","65 and over","Red light camera",70,2023,"Red light camera",1,"unique"
"2023-01-01","2023-01-31","NT","Unknown","Red light camera",20,2023,"Red light camera",1,"unique"
"2023-01-01","2023-12-31","QLD","Unknown","Average speed camera",9790,2023,"Average speed camera",1,"unique"
"2023-01-01","2023-12-31","QLD","Unknown","Fixed camera",263939,2023,"Fixed camera",1,"unique"
"2023-01-01","2023-12-31","QLD","Unknown","Mobile camera",469785,2023,"Mobile camera",1,"unique"
"2023-01-01","2023-12-31","QLD","Unknown","Police issued",117112,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","SA","0-16","Fixed camera",0,2023,"Fixed camera",1,"unique"
"2023-01-01","2023-01-31","SA","17-25","Fixed camera",483,2023,"Fixed camera",1,"unique"
"2023-01-01","2023-01-31","SA","26-39","Fixed camera",1229,2023,"Fixed camera",1,"unique"
"2023-01-01","2023-01-31","SA","40-64","Fixed camera",2426,2023,"Fixed camera",1,"unique"
"2023-01-01","2023-01-31","SA","65 and over","Fixed camera",996,2023,"Fixed camera",1,"unique"
"2023-01-01","2023-01-31","SA","Unknown","Fixed camera",184,2023,"Fixed camera",1,"unique"
"2023-01-01","2023-01-31","SA","0-16","Mobile camera",0,2023,"Mobile camera",1,"unique"
"2023-01-01","2023-01-31","SA","17-25","Mobile camera",885,2023,"Mobile camera",1,"unique"
"2023-01-01","2023-01-31","SA","26-39","Mobile camera",2462,2023,"Mobile camera",1,"unique"
"2023-01-01","2023-01-31","SA","40-64","Mobile camera",4161,2023,"Mobile camera",1,"unique"
"2023-01-01","2023-01-31","SA","65 and over","Mobile camera",1310,2023,"Mobile camera",1,"unique"
"2023-01-01","2023-01-31","SA","Unknown","Mobile camera",204,2023,"Mobile camera",1,"unique"
"2023-01-01","2023-01-31","SA","0-16","Other",0,2023,"Other",1,"unique"
"2023-01-01","2023-01-31","SA","17-25","Other",0,2023,"Other",1,"unique"
"2023-01-01","2023-01-31","SA","26-39","Other",0,2023,"Other",1,"unique"
"2023-01-01","2023-01-31","SA","40-64","Other",0,2023,"Other",1,"unique"
"2023-01-01","2023-01-31","SA","65 and over","Other",0,2023,"Other",1,"unique"
"2023-01-01","2023-01-31","SA","Unknown","Other",0,2023,"Other",1,"unique"
"2023-01-01","2023-01-31","SA","0-16","Police issued",0,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","SA","17-25","Police issued",710,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","SA","26-39","Police issued",1230,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","SA","40-64","Police issued",1428,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","SA","65 and over","Police issued",355,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","SA","Unknown","Police issued",3,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","TAS","17-25","Fixed or mobile camera",577,2023,"Camera (fixed/mobile)",1,"unique"
"2023-01-01","2023-01-31","TAS","26-39","Fixed or mobile camera",1568,2023,"Camera (fixed/mobile)",1,"unique"
"2023-01-01","2023-01-31","TAS","40-64","Fixed or mobile camera",1903,2023,"Camera (fixed/mobile)",1,"unique"
"2023-01-01","2023-01-31","TAS","65 and over","Fixed or mobile camera",623,2023,"Camera (fixed/mobile)",1,"unique"
"2023-01-01","2023-01-31","TAS","Unknown","Fixed or mobile camera",5,2023,"Camera (fixed/mobile)",1,"unique"
"2023-01-01","2023-01-31","TAS","17-25","Police issued",447,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","TAS","26-39","Police issued",736,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","TAS","40-64","Police issued",834,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","TAS","65 and over","Police issued",239,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","TAS","Unknown","Police issued",1,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","VIC","17-25","Fixed camera",180,2023,"Fixed camera",1,"chosen"
"2023-01-01","2023-01-31","VIC","26-39","Fixed camera",708,2023,"Fixed camera",1,"chosen"
"2023-01-01","2023-01-31","VIC","40-64","Fixed camera",1015,2023,"Fixed camera",1,"chosen"
"2023-01-01","2023-01-31","VIC","65 and over","Fixed camera",303,2023,"Fixed camera",1,"chosen"
"2023-01-01","2023-01-31","VIC","Unknown","Fixed camera",725,2023,"Fixed camera",1,"chosen"
"2023-01-01","2023-01-31","VIC","17-25","Fixed camera",2784,2023,"Fixed camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","26-39","Fixed camera",11589,2023,"Fixed camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","40-64","Fixed camera",19952,2023,"Fixed camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","65 and over","Fixed camera",5764,2023,"Fixed camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","Unknown","Fixed camera",11839,2023,"Fixed camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","17-25","Fixed camera",1,2023,"Fixed camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","26-39","Fixed camera",10,2023,"Fixed camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","40-64","Fixed camera",17,2023,"Fixed camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","65 and over","Fixed camera",6,2023,"Fixed camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","Unknown","Fixed camera",11,2023,"Fixed camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","17-25","Fixed camera",63,2023,"Fixed camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","26-39","Fixed camera",218,2023,"Fixed camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","40-64","Fixed camera",288,2023,"Fixed camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","65 and over","Fixed camera",62,2023,"Fixed camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","Unknown","Fixed camera",205,2023,"Fixed camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","17-25","Mobile camera",2125,2023,"Mobile camera",1,"chosen"
"2023-01-01","2023-01-31","VIC","26-39","Mobile camera",10144,2023,"Mobile camera",1,"chosen"
"2023-01-01","2023-01-31","VIC","40-64","Mobile camera",16192,2023,"Mobile camera",1,"chosen"
"2023-01-01","2023-01-31","VIC","65 and over","Mobile camera",5052,2023,"Mobile camera",1,"chosen"
"2023-01-01","2023-01-31","VIC","Unknown","Mobile camera",7544,2023,"Mobile camera",1,"chosen"
"2023-01-01","2023-01-31","VIC","17-25","Mobile camera",466,2023,"Mobile camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","26-39","Mobile camera",1827,2023,"Mobile camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","40-64","Mobile camera",3350,2023,"Mobile camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","65 and over","Mobile camera",1434,2023,"Mobile camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","Unknown","Mobile camera",1600,2023,"Mobile camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","17-25","Mobile camera",74,2023,"Mobile camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","26-39","Mobile camera",306,2023,"Mobile camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","40-64","Mobile camera",596,2023,"Mobile camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","65 and over","Mobile camera",283,2023,"Mobile camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","Unknown","Mobile camera",327,2023,"Mobile camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","17-25","Mobile camera",1,2023,"Mobile camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","26-39","Mobile camera",1,2023,"Mobile camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","40-64","Mobile camera",2,2023,"Mobile camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","17-25","Mobile camera",68,2023,"Mobile camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","26-39","Mobile camera",252,2023,"Mobile camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","40-64","Mobile camera",364,2023,"Mobile camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","65 and over","Mobile camera",117,2023,"Mobile camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","Unknown","Mobile camera",126,2023,"Mobile camera",1,"duplicate"
"2023-01-01","2023-01-31","VIC","17-25","Police issued",820,2023,"Police issued",1,"chosen"
"2023-01-01","2023-01-31","VIC","26-39","Police issued",1524,2023,"Police issued",1,"chosen"
"2023-01-01","2023-01-31","VIC","40-64","Police issued",1943,2023,"Police issued",1,"chosen"
"2023-01-01","2023-01-31","VIC","65 and over","Police issued",437,2023,"Police issued",1,"chosen"
"2023-01-01","2023-01-31","VIC","17-25","Police issued",1050,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","VIC","26-39","Police issued",1863,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","VIC","40-64","Police issued",1966,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","VIC","65 and over","Police issued",381,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","VIC","17-25","Police issued",200,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","VIC","26-39","Police issued",379,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","VIC","40-64","Police issued",450,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","VIC","65 and over","Police issued",97,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","VIC","17-25","Police issued",6,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","VIC","26-39","Police issued",16,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","VIC","40-64","Police issued",38,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","VIC","65 and over","Police issued",8,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","VIC","17-25","Police issued",9,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","VIC","26-39","Police issued",23,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","VIC","40-64","Police issued",18,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","VIC","65 and over","Police issued",1,2023,"Police issued",1,"duplicate"
"2023-01-01","2023-01-31","VIC","Unknown","Police issued",1,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","WA","17-25","Average speed camera",229,2023,"Average speed camera",1,"unique"
"2023-01-01","2023-01-31","WA","26-39","Average speed camera",471,2023,"Average speed camera",1,"unique"
"2023-01-01","2023-01-31","WA","40-64","Average speed camera",546,2023,"Average speed camera",1,"unique"
"2023-01-01","2023-01-31","WA","65 and over","Average speed camera",85,2023,"Average speed camera",1,"unique"
"2023-01-01","2023-01-31","WA","17-25","Fixed camera",1325,2023,"Fixed camera",1,"unique"
"2023-01-01","2023-01-31","WA","26-39","Fixed camera",4272,2023,"Fixed camera",1,"unique"
"2023-01-01","2023-01-31","WA","40-64","Fixed camera",6412,2023,"Fixed camera",1,"unique"
"2023-01-01","2023-01-31","WA","65 and over","Fixed camera",1618,2023,"Fixed camera",1,"unique"
"2023-01-01","2023-01-31","WA","Unknown","Fixed camera",11,2023,"Fixed camera",1,"unique"
"2023-01-01","2023-01-31","WA","0-16","Mobile camera",1,2023,"Mobile camera",1,"unique"
"2023-01-01","2023-01-31","WA","17-25","Mobile camera",3685,2023,"Mobile camera",1,"unique"
"2023-01-01","2023-01-31","WA","26-39","Mobile camera",9352,2023,"Mobile camera",1,"unique"
"2023-01-01","2023-01-31","WA","40-64","Mobile camera",13530,2023,"Mobile camera",1,"unique"
"2023-01-01","2023-01-31","WA","65 and over","Mobile camera",3317,2023,"Mobile camera",1,"unique"
"2023-01-01","2023-01-31","WA","Unknown","Mobile camera",17,2023,"Mobile camera",1,"unique"
"2023-01-01","2023-01-31","WA","17-25","Police issued",916,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","WA","26-39","Police issued",1913,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","WA","40-64","Police issued",2201,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","WA","65 and over","Police issued",401,2023,"Police issued",1,"unique"
"2023-01-01","2023-01-31","WA","17-25","Red light camera",893,2023,"Red light camera",1,"unique"
"2023-01-01","2023-01-31","WA","26-39","Red light camera",3494,2023,"Red light camera",1,"unique"
"2023-01-01","2023-01-31","WA","40-64","Red light camera",7450,2023,"Red light camera",1,"unique"
"2023-01-01","2023-01-31","WA","65 and over","Red light camera",2027,2023,"Red light camera",1,"unique"
"2023-01-01","2023-01-31","WA","Unknown","Red light camera",12,2023,"Red light camera",1,"unique"
"2023-01-01","2023-01-31","WA","17-25","Unknown",0,2023,"Unknown",1,"unique"
"2023-01-01","2023-01-31","WA","26-39","Unknown",0,2023,"Unknown",1,"unique"
"2023-01-01","2023-01-31","WA","40-64","Unknown",0,2023,"Unknown",1,"unique"
"2023-01-01","2023-01-31","WA","65 and over","Unknown",0,2023,"Unknown",1,"unique"
"2023-02-01","2023-02-28","ACT","0-16","Fixed camera",1,2023,"Fixed camera",2,"unique"
"2023-02-01","2023-02-28","ACT","17-25","Fixed camera",508,2023,"Fixed camera",2,"unique"
"2023-02-01","2023-02-28","ACT","26-39","Fixed camera",1149,2023,"Fixed camera",2,"unique"
"2023-02-01","2023-02-28","ACT","40-64","Fixed camera",2115,2023,"Fixed camera",2,"unique"
"2023-02-01","2023-02-28","ACT","65 and over","Fixed camera",735,2023,"Fixed camera",2,"unique"
"2023-02-01","2023-02-28","ACT","Unknown","Fixed camera",91,2023,"Fixed camera",2,"unique"
"2023-02-01","2023-02-28","ACT","17-25","Mobile camera",220,2023,"Mobile camera",2,"unique"
"2023-02-01","2023-02-28","ACT","26-39","Mobile camera",463,2023,"Mobile camera",2,"unique"
"2023-02-01","2023-02-28","ACT","40-64","Mobile camera",582,2023,"Mobile camera",2,"unique"
"2023-02-01","2023-02-28","ACT","65 and over","Mobile camera",243,2023,"Mobile camera",2,"unique"
"2023-02-01","2023-02-28","ACT","Unknown","Mobile camera",13,2023,"Mobile camera",2,"unique"
"2023-02-01","2023-02-28","ACT","0-16","Police issued",1,2023,"Police issued",2,"unique"
"2023-02-01","2023-02-28","ACT","17-25","Police issued",27,2023,"Police issued",2,"unique"
"2023-02-01","2023-02-28","ACT","26-39","Police issued",52,2023,"Police issued",2,"unique"
"2023-02-01","2023-02-28","ACT","40-64","Police issued",33,2023,"Police issued",2,"unique"
"2023-02-01","2023-02-28","ACT","65 and over","Police issued",4,2023,"Police issued",2,"unique"
"2023-02-01","2023-02-28","NSW","Unknown","Fixed camera",32476,2023,"Fixed camera",2,"unique"
"2023-02-01","2023-02-28","NSW","Unknown","Mobile camera",2069,2023,"Mobile camera",2,"unique"
"2023-02-01","2023-02-28","NSW","0-16","Police issued",2,2023,"Police issued",2,"chosen"
"2023-02-01","2023-02-28","NSW","17-25","Police issued",1213,2023,"Police issued",2,"chosen"
"2023-02-01","2023-02-28","NSW","26-39","Police issued",1894,2023,"Police issued",2,"chosen"
"2023-02-01","2023-02-28","NSW","40-64","Police issued",2047,2023,"Police issued",2,"chosen"
"2023-02-01","2023-02-28","NSW","65 and over","Police issued",522,2023,"Police issued",2,"chosen"
"2023-02-01","2023-02-28","NSW","0-16","Police issued",3,2023,"Police issued",2,"duplicate"
"2023-02-01","2023-02-28","NSW","17-25","Police issued",1387,2023,"Police issued",2,"duplicate"
"2023-02-01","2023-02-28","NSW","26-39","Police issued",1694,2023,"Police issued",2,"duplicate"
"2023-02-01","2023-02-28","NSW","40-64","Police issued",1503,2023,"Police issued",2,"duplicate"
"2023-02-01","2023-02-28","NSW","65 and over","Police issued",202,2023,"Police issued",2,"duplicate"
"2023-02-01","2023-02-28","NSW","0-16","Police issued",0,2023,"Police issued",2,"duplicate"
"2023-02-01","2023-02-28","NSW","17-25","Police issued",297,2023,"Police issued",2,"duplicate"
"2023-02-01","2023-02-28","NSW","26-39","Police issued",553,2023,"Police issued",2,"duplicate"
"2023-02-01","2023-02-28","NSW","40-64","Police issued",675,2023,"Police issued",2,"duplicate"
"2023-02-01","2023-02-28","NSW","65 and over","Police issued",146,2023,"Police issued",2,"duplicate"
"2023-02-01","2023-02-28","NSW","17-25","Police issued",12,2023,"Police issued",2,"duplicate"
"2023-02-01","2023-02-28","NSW","26-39","Police issued",29,2023,"Police issued",2,"duplicate"
"2023-02-01","2023-02-28","NSW","40-64","Police issued",29,2023,"Police issued",2,"duplicate"
"2023-02-01","2023-02-28","NSW","65 and over","Police issued",6,2023,"Police issued",2,"duplicate"
"2023-02-01","2023-02-28","NSW","17-25","Police issued",13,2023,"Police issued",2,"duplicate"
"2023-02-01","2023-02-28","NSW","26-39","Police issued",6,2023,"Police issued",2,"duplicate"
"2023-02-01","2023-02-28","NSW","40-64","Police issued",6,2023,"Police issued",2,"duplicate"
"2023-02-01","2023-02-28","NSW","17-25","Police issued",1,2023,"Police issued",2,"duplicate"
"2023-02-01","2023-02-28","NSW","40-64","Police issued",3,2023,"Police issued",2,"duplicate"
"2023-02-01","2023-02-28","NSW","65 and over","Police issued",1,2023,"Police issued",2,"duplicate"
"2023-02-01","2023-02-28","NSW","Unknown","Red light camera",18135,2023,"Red light camera",2,"unique"
"2023-02-01","2023-02-28","NT","0-16","Mobile camera",3,2023,"Mobile camera",2,"unique"
"2023-02-01","2023-02-28","NT","17-25","Mobile camera",251,2023,"Mobile camera",2,"unique"
"2023-02-01","2023-02-28","NT","26-39","Mobile camera",639,2023,"Mobile camera",2,"unique"
"2023-02-01","2023-02-28","NT","40-64","Mobile camera",702,2023,"Mobile camera",2,"unique"
"2023-02-01","2023-02-28","NT","65 and over","Mobile camera",154,2023,"Mobile camera",2,"unique"
"2023-02-01","2023-02-28","NT","Unknown","Mobile camera",61,2023,"Mobile camera",2,"unique"
"2023-02-01","2023-02-28","NT","0-16","Police issued",1,2023,"Police issued",2,"unique"
"2023-02-01","2023-02-28","NT","17-25","Police issued",40,2023,"Police issued",2,"unique"
"2023-02-01","2023-02-28","NT","26-39","Police issued",121,2023,"Police issued",2,"unique"
"2023-02-01","2023-02-28","NT","40-64","Police issued",100,2023,"Police issued",2,"unique"
"2023-02-01","2023-02-28","NT","65 and over","Police issued",19,2023,"Police issued",2,"unique"
"2023-02-01","2023-02-28","NT","17-25","Red light camera",85,2023,"Red light camera",2,"unique"
"2023-02-01","2023-02-28","NT","26-39","Red light camera",228,2023,"Red light camera",2,"unique"
"2023-02-01","2023-02-28","NT","40-64","Red light camera",381,2023,"Red light camera",2,"unique"
"2023-02-01","2023-02-28","NT","65 and over","Red light camera",74,2023,"Red light camera",2,"unique"
"2023-02-01","2023-02-28","NT","Unknown","Red light camera",25,2023,"Red light camera",2,"unique"
"2023-02-01","2023-02-28","SA","0-16","Fixed camera",0,2023,"Fixed camera",2,"unique"
"2023-02-01","2023-02-28","SA","17-25","Fixed camera",482,2023,"Fixed camera",2,"unique"
"2023-02-01","2023-02-28","SA","26-39","Fixed camera",1083,2023,"Fixed camera",2,"unique"
"2023-02-01","2023-02-28","SA","40-64","Fixed camera",2287,2023,"Fixed camera",2,"unique"
"2023-02-01","2023-02-28","SA","65 and over","Fixed camera",880,2023,"Fixed camera",2,"unique"
"2023-02-01","2023-02-28","SA","Unknown","Fixed camera",195,2023,"Fixed camera",2,"unique"
"2023-02-01","2023-02-28","SA","0-16","Mobile camera",0,2023,"Mobile camera",2,"unique"
"2023-02-01","2023-02-28","SA","17-25","Mobile camera",886,2023,"Mobile camera",2,"unique"
"2023-02-01","2023-02-28","SA","26-39","Mobile camera",2458,2023,"Mobile camera",2,"unique"
"2023-02-01","2023-02-28","SA","40-64","Mobile camera",4066,2023,"Mobile camera",2,"unique"
"2023-02-01","2023-02-28","SA","65 and over","Mobile camera",1074,2023,"Mobile camera",2,"unique"
"2023-02-01","2023-02-28","SA","Unknown","Mobile camera",219,2023,"Mobile camera",2,"unique"
"2023-02-01","2023-02-28","SA","0-16","Other",0,2023,"Other",2,"unique"
"2023-02-01","2023-02-28","SA","17-25","Other",0,2023,"Other",2,"unique"
"2023-02-01","2023-02-28","SA","26-39","Other",0,2023,"Other",2,"unique"
"2023-02-01","2023-02-28","SA","40-64","Other",0,2023,"Other",2,"unique"
"2023-02-01","2023-02-28","SA","65 and over","Other",0,2023,"Other",2,"unique"
"2023-02-01","2023-02-28","SA","Unknown","Other",0,2023,"Other",2,"unique"
"2023-02-01","2023-02-28","SA","0-16","Police issued",0,2023,"Police issued",2,"unique"
"2023-02-01","2023-02-28","SA","17-25","Police issued",609,2023,"Police issued",2,"unique"
"2023-02-01","2023-02-28","SA","26-39","Police issued",1131,2023,"Police issued",2,"unique"
"2023-02-01","2023-02-28","SA","40-64","Police issued",1408,2023,"Police issued",2,"unique"
"2023-02-01","2023-02-28","SA","65 and over","Police issued",356,2023,"Police issued",2,"unique"
"2023-02-01","2023-02-28","SA","Unknown","Police issued",3,2023,"Police issued",2,"unique"
"2023-02-01","2023-02-28","TAS","17-25","Fixed or mobile camera",389,2023,"Camera (fixed/mobile)",2,"unique"
"2023-02-01","2023-02-28","TAS","26-39","Fixed or mobile camera",1001,2023,"Camera (fixed/mobile)",2,"unique"
"2023-02-01","2023-02-28","TAS","40-64","Fixed or mobile camera",1193,2023,"Camera (fixed/mobile)",2,"unique"
"2023-02-01","2023-02-28","TAS","65 and over","Fixed or mobile camera",419,2023,"Camera (fixed/mobile)",2,"unique"
"2023-02-01","2023-02-28","TAS","Unknown","Fixed or mobile camera",3,2023,"Camera (fixed/mobile)",2,"unique"
"2023-02-01","2023-02-28","TAS","0-16","Police issued",0,2023,"Police issued",2,"unique"
"2023-02-01","2023-02-28","TAS","17-25","Police issued",319,2023,"Police issued",2,"unique"
